freq,unit,geo\TIME_PERIOD	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,HAB_P,AT	115.03 	116.33 	117.14 	118.49 	119.86 	122.02 	123.73 	125.82 	127.42 	128.10 	129.31 	129.29 	130.09 	130.51 	129.00 	129.99 	130.22 	130.66 	130.27 	130.31 	130.81 	131.86 	132.68 	134.75 	135.75 	137.52 	139.10 	141.82 	144.62 	148.86 
A,HAB_P,AT11	: 	: 	: 	: 	: 	: 	169.46 	171.49 	169.83 	167.74 	177.46 	175.47 	176.88 	171.22 	169.50 	173.14 	176.03 	176.48 	185.54 	166.80 	164.88 	166.22 	168.52 	165.89 	161.23 	165.38 	170.30 	174.07 	181.97 	188.79 
A,HAB_P,AT12	: 	: 	: 	: 	: 	: 	143.99 	146.85 	147.95 	150.67 	151.88 	150.78 	150.66 	149.75 	145.02 	143.69 	143.73 	141.19 	143.22 	142.51 	142.71 	141.35 	142.62 	145.25 	148.68 	148.39 	148.95 	148.73 	151.07 	154.68 
A,HAB_P,AT13	: 	: 	: 	: 	: 	: 	111.16 	112.01 	114.82 	114.41 	116.75 	120.07 	123.37 	125.71 	124.39 	126.52 	125.36 	126.28 	124.59 	126.89 	126.07 	125.01 	122.60 	125.64 	127.62 	132.19 	132.99 	137.47 	142.58 	148.16 
A,HAB_P,AT21	: 	: 	: 	: 	: 	: 	108.56 	110.28 	110.19 	109.83 	108.50 	109.85 	108.73 	106.72 	105.84 	107.55 	109.88 	111.18 	111.90 	112.52 	114.01 	115.75 	116.50 	119.49 	123.46 	122.12 	124.39 	130.87 	129.17 	130.98 
A,HAB_P,AT22	: 	: 	: 	: 	: 	: 	108.54 	111.14 	113.32 	114.64 	115.45 	112.87 	114.18 	114.30 	110.76 	110.87 	111.14 	112.62 	113.95 	114.73 	115.79 	119.43 	120.83 	122.42 	121.66 	122.67 	124.80 	127.49 	128.11 	132.50 
A,HAB_P,AT31	: 	: 	: 	: 	: 	: 	130.39 	131.63 	132.49 	134.64 	135.85 	135.66 	133.01 	134.15 	134.81 	136.21 	136.94 	136.18 	136.79 	138.76 	140.80 	144.07 	146.09 	147.80 	145.00 	145.61 	147.78 	148.24 	152.52 	156.73 
A,HAB_P,AT32	: 	: 	: 	: 	: 	: 	104.94 	108.73 	108.87 	109.73 	109.11 	108.08 	109.27 	110.30 	110.46 	109.95 	110.56 	110.04 	108.16 	104.26 	104.98 	106.10 	108.87 	108.88 	111.34 	113.25 	115.04 	120.18 	125.37 	124.42 
A,HAB_P,AT33	: 	: 	: 	: 	: 	: 	143.26 	144.35 	145.77 	144.26 	145.01 	142.44 	144.29 	144.50 	146.05 	147.81 	147.13 	152.08 	144.69 	142.95 	142.20 	143.34 	146.68 	148.11 	148.22 	149.33 	150.30 	151.41 	152.60 	161.89 
A,HAB_P,AT34	: 	: 	: 	: 	: 	: 	154.49 	155.71 	161.69 	158.70 	162.04 	163.50 	166.21 	167.03 	168.48 	175.27 	175.60 	178.18 	167.17 	166.64 	168.37 	169.49 	172.02 	175.50 	177.63 	186.00 	188.89 	191.25 	187.30 	190.31 
A,HAB_P,BE	135.83 	140.19 	141.76 	143.43 	144.58 	146.26 	147.20 	148.78 	151.04 	152.92 	153.18 	154.24 	155.40 	157.41 	159.57 	160.03 	162.54 	163.86 	165.28 	167.08 	168.70 	170.90 	171.46 	173.49 	176.57 	177.86 	179.62 bd	180.72 d	182.08 d	183.73 d
A,HAB_P,BE10	: 	: 	: 	: 	: 	: 	107.62 	108.09 	108.43 	110.60 	111.87 	112.78 	113.90 	115.29 	117.58 	122.63 	124.53 	129.29 	133.01 	135.04 	136.66 	139.97 	135.95 	137.67 	139.61 	140.55 	141.60 bd	142.08 d	142.42 d	144.01 d
A,HAB_P,BE21	: 	: 	: 	: 	: 	: 	148.21 	148.27 	150.16 	154.12 	153.52 	155.90 	156.94 	160.92 	169.51 	162.08 	169.99 	165.45 	167.83 	169.06 	170.67 	172.87 	173.90 	175.31 	178.49 	180.55 	182.71 bd	183.90 d	185.42 d	187.61 d
A,HAB_P,BE22	: 	: 	: 	: 	: 	: 	171.77 	172.20 	176.26 	179.62 	181.94 	182.82 	184.20 	185.96 	187.37 	189.05 	189.83 	191.56 	193.18 	196.00 	202.11 	202.31 	203.24 	204.45 	206.15 	206.88 	207.81 bd	208.69 d	210.37 d	212.20 d
A,HAB_P,BE23	: 	: 	: 	: 	: 	: 	145.92 	143.97 	145.20 	143.54 	144.31 	144.97 	145.70 	148.66 	148.49 	149.46 	150.72 	153.16 	154.64 	156.89 	158.04 	159.06 	160.87 	162.42 	164.35 	165.62 	167.11 bd	168.68 d	170.56 d	172.41 d
A,HAB_P,BE24	: 	: 	: 	: 	: 	: 	186.94 	184.19 	198.25 	204.01 	201.03 	202.12 	204.71 	208.70 	207.98 	209.80 	212.12 	213.57 	215.95 	221.38 	224.27 	225.64 	230.45 	232.58 	235.25 	235.88 	248.23 bd	250.43 d	254.09 d	256.85 d
A,HAB_P,BE25	: 	: 	: 	: 	: 	: 	129.21 	136.88 	137.04 	135.59 	135.80 	136.27 	136.99 	137.65 	138.29 	138.97 	142.34 	140.66 	141.08 	142.43 	143.90 	144.42 	144.57 	145.13 	146.27 	148.33 	151.91 bd	152.65 d	153.84 d	155.23 d
A,HAB_P,BE31	: 	: 	: 	: 	: 	: 	221.45 	263.28 	265.67 	267.93 	270.00 	272.16 	274.33 	276.84 	279.47 	281.42 	283.68 	287.77 	290.91 	293.05 	295.35 	386.41 	389.42 	395.97 	422.60 	425.89 	424.16 bd	429.05 d	438.41 d	441.42 d
A,HAB_P,BE32	: 	: 	: 	: 	: 	: 	139.42 	142.39 	144.18 	145.46 	146.53 	147.45 	148.87 	149.37 	150.41 	150.50 	150.84 	155.71 	153.40 	154.21 	155.23 	155.87 	156.50 	159.68 	164.53 	164.78 	163.78 bd	164.20 d	165.01 d	165.91 d
A,HAB_P,BE33	: 	: 	: 	: 	: 	: 	151.36 	150.85 	152.57 	156.73 	154.52 	154.79 	155.59 	156.85 	158.27 	159.77 	160.10 	161.64 	163.17 	164.05 	164.90 	165.85 	168.51 	172.00 	175.41 	176.54 	174.90 bd	176.33 d	176.71 d	177.43 d
A,HAB_P,BE34	: 	: 	: 	: 	: 	: 	208.64 	209.45 	207.29 	210.34 	213.50 	215.61 	218.96 	221.16 	223.52 	225.97 	228.07 	230.74 	233.58 	235.49 	236.56 	237.65 	239.79 	241.65 	243.85 	244.73 	246.70 bd	248.86 d	250.91 d	253.45 d
A,HAB_P,BE35	: 	: 	: 	: 	: 	: 	165.08 	158.43 	164.02 	168.58 	169.53 	170.49 	171.31 	172.45 	173.73 	175.43 	176.86 	178.88 	181.12 	182.16 	181.24 	180.98 	181.72 	185.03 	193.14 	194.21 	195.05 bd	195.76 d	196.53 d	197.74 d
A,HAB_P,BG	95.29 	98.08 	96.46 	95.52 	97.32 	118.94 	133.43 	134.93 	140.55 	153.58 	158.13 	161.75 	154.33 	159.29 	154.78 	151.34 	148.77 	151.13 	155.06 	151.24 	146.70 	140.26 	138.22 	137.56 	134.16 	132.12 	129.19 	127.90 	126.22 	121.43 
A,HAB_P,BG31	: 	: 	: 	: 	: 	: 	132.54 	140.66 	149.39 	175.80 	177.59 	172.97 	168.46 	171.78 	160.53 	158.70 	151.75 	157.47 	156.50 	156.85 	150.28 	145.95 	139.28 	139.16 	130.01 	129.63 	126.15 	122.76 	116.48 	111.78 
A,HAB_P,BG32	: 	: 	: 	: 	: 	: 	135.92 	149.64 	157.21 	174.46 	175.60 	172.83 	169.25 	170.95 	165.09 	160.59 	157.22 	166.31 	173.61 	173.76 	163.58 	159.68 	153.45 	157.34 	154.93 	151.46 	148.34 	143.32 	138.39 	131.82 
A,HAB_P,BG33	: 	: 	: 	: 	: 	: 	139.54 	155.19 	159.60 	181.95 	186.73 	191.73 	198.34 	206.58 	206.17 	205.50 	198.57 	208.73 	208.83 	213.74 	208.96 	202.74 	192.99 	199.84 	195.43 	188.84 	186.43 	187.10 	189.52 	172.60 
A,HAB_P,BG34	: 	: 	: 	: 	: 	: 	148.25 	139.48 	144.94 	167.62 	168.77 	169.24 	168.88 	172.18 	166.40 	160.41 	155.86 	163.23 	177.34 	174.14 	164.84 	155.77 	162.77 	155.85 	152.37 	152.21 	149.22 	149.48 	144.99 	138.05 
A,HAB_P,BG41	: 	: 	: 	: 	: 	: 	129.54 	122.98 	129.81 	143.27 	147.03 	150.42 	151.05 	155.81 	151.90 	146.32 	145.68 	151.21 	157.53 	154.47 	152.80 	145.39 	143.64 	144.75 	142.65 	140.02 	135.26 	131.71 	132.64 	131.32 
A,HAB_P,BG42	: 	: 	: 	: 	: 	: 	156.27 	155.42 	153.32 	168.56 	171.45 	170.25 	166.38 	167.98 	164.07 	154.99 	147.90 	150.98 	153.41 	146.69 	142.30 	132.84 	129.46 	126.56 	122.42 	121.33 	121.25 	119.80 	118.51 	114.47 
A,HAB_P,CH	: 	: 	: 	: 	: 	150.89 e	151.33 e	159.05 e	165.66 e	168.21 e	171.70 	176.38 	180.53 	185.49 	186.56 	191.90 	195.91 	192.63 	198.12 	201.01 	206.19 	211.24 	211.42 	213.31 	214.90 	216.09 	217.70 	223.18 	225.55 	226.21 
A,HAB_P,CH01	: 	: 	: 	: 	: 	: 	159.42 e	153.64 e	157.23 e	157.87 e	160.36 	164.33 	166.83 	174.42 	178.20 	181.85 	187.84 	185.60 	184.67 	183.64 	191.49 	191.83 	191.78 	193.70 	195.27 	197.59 	199.48 	208.40 	215.99 	217.76 
A,HAB_P,CH02	: 	: 	: 	: 	: 	: 	159.00 e	180.13 e	186.19 e	190.16 e	196.50 	197.10 	200.63 	204.38 	209.13 	212.26 	215.83 	210.70 	215.27 	218.54 	222.66 	236.94 	229.77 	232.99 	236.43 	233.40 	234.68 	242.95 	245.46 	245.24 
A,HAB_P,CH03	: 	: 	: 	: 	: 	: 	127.96 e	135.15 e	138.26 e	138.41 e	140.79 	144.88 	150.44 	153.03 	161.88 	161.14 	163.31 	162.69 	168.03 	168.29 	174.54 	176.03 	182.06 	185.29 	184.74 	185.58 	184.63 	187.90 	185.27 	182.89 
A,HAB_P,CH04	: 	: 	: 	: 	: 	: 	145.72 e	150.00 e	160.26 e	162.23 e	165.70 	170.68 	174.40 	182.85 	186.69 	189.19 	194.27 	204.65 	213.32 	216.66 	225.04 	227.57 	228.78 	234.89 	234.10 	241.91 	243.61 	252.80 	260.36 	262.97 
A,HAB_P,CH05	: 	: 	: 	: 	: 	: 	144.40 e	147.65 e	156.65 e	163.20 e	162.88 	174.17 	179.42 	182.30 	161.62 	179.67 	183.34 	166.20 	175.83 	183.98 	185.64 	192.68 	193.80 	191.45 	197.26 	197.05 	200.69 	200.89 	202.33 	203.12 
A,HAB_P,CH06	: 	: 	: 	: 	: 	: 	223.49 e	246.50 e	258.55 e	263.79 e	268.18 	266.99 	270.24 	273.54 	277.26 	283.84 	287.45 	282.47 	288.37 	299.18 	298.45 	307.49 	305.29 	301.43 	300.29 	299.62 	302.67 	301.45 	297.72 	304.69 
A,HAB_P,CH07	: 	: 	: 	: 	: 	: 	124.24 e	132.83 e	138.51 e	139.94 e	150.76 	156.65 	162.01 	163.25 	169.72 	175.51 	177.03 	171.92 	180.49 	181.64 	181.01 	182.91 	184.43 	183.17 	181.00 	180.74 	182.32 	182.65 	178.02 	177.44 
A,HAB_P,CZ	: 	: 	117.64 	121.01 	124.39 	126.04 	129.27 	128.21 b	128.75 	128.79 	129.32 	130.73 	132.08 	134.29 	136.40 	138.60 	139.99 	136.27 b	140.72 	143.40 	148.25 	148.79 	148.97 	149.03 	149.85 	150.06 	150.92 	151.37 	150.02 	152.85 
A,HAB_P,CZ01	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	102.47 	104.38 	107.06 	102.82 b	107.61 	110.75 	114.88 	114.80 	114.96 	116.15 	117.72 	119.37 	121.25 	121.14 	117.80 	124.95 
A,HAB_P,CZ02	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	172.36 	176.07 	173.63 	170.58 b	177.11 	178.18 	188.97 	191.24 	192.89 	193.29 	196.08 	195.81 	200.38 	201.88 	202.90 	208.18 
A,HAB_P,CZ03	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	137.19 	140.22 	140.15 	134.54 b	138.66 	139.90 	145.93 	146.61 	147.08 	149.38 	151.23 	151.01 	148.08 	148.72 	147.83 	150.42 
A,HAB_P,CZ04	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	146.94 	148.93 	149.25 	149.29 b	153.31 	156.14 	159.40 	159.82 	160.03 	157.64 	156.97 	158.35 	159.84 	159.33 	157.61 	158.97 
A,HAB_P,CZ05	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	146.05 	147.97 	146.33 	147.40 b	150.74 	152.64 	154.60 	154.91 	154.96 	155.27 	156.42 	156.17 	157.47 	158.87 	155.76 	157.36 
A,HAB_P,CZ06	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	126.38 	127.89 	129.66 	127.01 b	132.42 	134.47 	140.08 	140.97 	141.37 	140.50 	140.15 	139.17 	140.92 	140.86 	140.09 	141.54 
A,HAB_P,CZ07	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	142.80 	144.18 	146.36 	141.80 b	144.28 	148.22 	154.97 	155.94 	157.16 	156.78 	156.94 	157.02 	156.75 	156.68 	157.69 	159.43 
A,HAB_P,CZ08	: 	: 	: 	: 	: 	: 	: 	: b	: 	: 	: 	: 	: 	: 	140.33 	143.27 	149.34 	139.08 b	142.90 	147.53 	148.93 	148.57 	146.50 	145.73 	146.36 	146.44 	145.58 	146.27 	145.02 	145.45 
A,HAB_P,DE	103.48 	102.98 	103.29 	104.53 	106.64 	107.59 	108.76 	109.69 	110.99 	112.70 	114.36 	116.58 	118.10 	120.52 	121.37 	121.75 	121.37 	120.11 	119.36 	119.96 	120.81 	121.53 	122.95 	124.03 	124.96 	125.26 	126.35 	127.91 	128.86 	130.50 
A,HAB_P,DK	: 	: 	: 	: 	215.38 	220.26 	227.89 	232.90 	237.07 	233.33 	241.94 	251.82 	259.28 	263.78 	270.92 	280.07 	286.23 	285.89 	319.54 b	: 	325.67 	371.92 be	395.24 e	385.18 e	383.39 	382.90 	385.67 	386.47 	397.98 	403.76 
A,HAB_P,DK01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	230.62 	237.75 	243.66 	218.21 	281.45 b	: 	293.40 	398.09 be	401.14 e	313.13 e	326.03 	332.44 	336.03 	334.10 	342.44 	358.51 
A,HAB_P,DK02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	293.11 	306.21 	298.73 	335.31 	312.17 b	: 	314.54 	322.41 be	324.41 e	351.86 e	339.35 	356.00 	362.67 	361.87 	373.19 	373.19 
A,HAB_P,DK03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	290.72 	304.16 	311.28 	326.66 	328.59 b	: 	337.06 	341.21 be	432.00 e	453.00 e	436.45 	411.19 	395.87 	399.53 	421.02 	414.99 
