freq,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,RT,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.9 	7.9 	7.1 	8.7 	8.0 	8.9 	10.3 	10.0 	: 	6.5 
A,RT,AL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.9 	7.8 	7.1 	8.6 	7.8 	8.7 	10.1 	10.1 	: 	6.5 
A,RT,AL01	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.9 	: 	8.4 	7.9 	9.1 	11.1 	9.0 	: 	6.1 
A,RT,AL02	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.4 	: 	10.5 	8.2 	9.9 	10.6 	11.3 	: 	7.2 
A,RT,AL03	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6.0 	: 	6.2 	7.2 	6.4 	8.2 	9.2 	: 	5.9 
A,RT,AT	7.8 	7.5 	7.5 	6.5 	6.3 	5.4 	5.1 	4.7 	4.9 	4.4 	4.8 	4.8 	4.1 	4.5 	4.5 	4.2 	3.6 	3.7 	3.7 	3.8 	3.9 	3.6 	3.2 	3.1 	3.0 	3.1 	3.1 	2.9 	2.7 	2.9 	3.1 	2.7 	2.4 
A,RT,AT1	8.0 	7.9 	8.0 	7.0 	6.6 	: 	5.0 	4.5 	5.5 	4.9 	5.2 	5.3 	4.7 	5.5 	4.9 	4.7 	3.9 	4.9 	5.0 	4.6 	4.7 	4.6 	3.7 	3.8 	3.9 	3.7 	3.8 	3.4 	3.2 	3.9 	3.7 	3.4 	3.0 
A,RT,AT11	4.9 	8.1 	7.6 	5.1 	5.3 	: 	6.1 	4.5 	3.0 	3.1 	5.0 	5.4 	2.3 	6.0 	2.3 	3.7 	3.8 	4.1 	3.2 	0.9 	2.3 	3.7 	2.3 	3.8 	2.7 	2.7 	4.3 	1.8 	4.0 	1.8 	1.0 	2.7 	3.3 
A,RT,AT12	7.8 	7.2 	6.2 	6.3 	7.4 	: 	4.6 	4.4 	4.4 	5.1 	5.4 	4.1 	3.9 	4.6 	4.4 	3.6 	3.5 	4.4 	4.7 	4.2 	3.6 	3.9 	3.1 	2.7 	3.2 	3.1 	3.0 	2.8 	2.0 	3.1 	2.8 	3.4 	2.5 
A,RT,AT13	8.7 	8.5 	9.9 	8.1 	5.9 	: 	5.4 	4.6 	7.0 	5.1 	5.1 	6.3 	5.7 	6.3 	5.7 	5.7 	4.3 	5.4 	5.5 	5.5 	5.8 	5.3 	4.3 	4.7 	4.5 	4.3 	4.2 	4.1 	3.9 	4.7 	4.7 	3.6 	3.3 
A,RT,AT2	6.6 	6.4 	6.7 	5.5 	4.7 	: 	4.2 	4.6 	3.7 	3.4 	3.9 	3.9 	2.7 	2.8 	3.1 	3.3 	3.5 	2.4 	2.5 	2.8 	2.8 	2.6 	3.1 	2.2 	2.4 	3.1 	2.1 	1.9 	2.4 	2.2 	1.9 	1.8 	1.8 
